tag,pattern
greeting,Hi there
greeting,How are you
greeting,Is anyone there?
greeting,Hey
greeting,Hola
greeting,Hello
greeting,Good day
greeting,Greetings
greeting,What's up?
greeting,"Hey, how's it going?"
greeting,Salutations
greeting,Anybody home?
greeting,Top of the morning to you
greeting,Yo!
greeting,"Hi, what's happening?"
goodbye,Bye
goodbye,See you later
goodbye,Goodbye
goodbye,"Nice chatting to you, bye"
goodbye,Till next time
goodbye,Farewell
goodbye,Take care
goodbye,Until we meet again
goodbye,Adios
goodbye,So long
goodbye,Catch you later
goodbye,It's been a pleasure
goodbye,Time to go
goodbye,I'm off
goodbye,Goodnight
goodbye,See you around
goodbye,Toodles
goodbye,Ciao
goodbye,Hasta luego
goodbye,Peace out
thanks,Thanks
thanks,Thank you
thanks,That's helpful
thanks,"Awesome, thanks"
thanks,Thanks for helping me
thanks,Appreciate it
thanks,You're a lifesaver
thanks,Grateful for your assistance
thanks,Big thank you
thanks,Many thanks
thanks,Thanks a bunch
thanks,You've been very helpful
thanks,I'm thankful for your support
thanks,Much obliged
thanks,Thank you so much
thanks,I owe you one
thanks,You rock
thanks,You're the best
thanks,I appreciate your help
thanks,Thanks a million
options,How can you help me?
options,What services do you offer?
options,What support is available?
options,How can you assist me?
options,Tell me about your capabilities
adverse_drug,How to check adverse drug reactions?
adverse_drug,Open adverse drugs module
adverse_drug,List drugs causing adverse behavior
adverse_drug,Drugs suitable for patients with adverse reactions
adverse_drug,Which drugs don't have adverse reactions?
adverse_drug,Tell me about drug side effects
adverse_drug,How to manage adverse reactions?
adverse_drug,Adverse drug information
adverse_drug,Explore adverse effects of medications
adverse_drug,What are the common adverse effects?
adverse_drug,Adverse reactions by drug class
adverse_drug,Any tips for minimizing adverse drug effects?
adverse_drug,Can you provide a list of recent adverse reactions?
adverse_drug,Tell me more about drug safety
adverse_drug,Guidelines for handling adverse drug events
adverse_drug,Any recent updates on adverse drug studies?
adverse_drug,What's the latest information on medication safety?
blood_pressure,Open blood pressure module
blood_pressure,Tasks related to blood pressure
blood_pressure,Blood pressure data entry
blood_pressure,Log blood pressure results
blood_pressure,Blood pressure data management
blood_pressure,How to record blood pressure?
blood_pressure,Access blood pressure features
blood_pressure,Tell me about blood pressure tracking
blood_pressure,Blood pressure module functionalities
blood_pressure,What are the key features of the blood pressure module?
blood_pressure,Can you guide me on entering blood pressure data?
blood_pressure,Any tips for accurate blood pressure recording?
blood_pressure,Tell me about trends in blood pressure management
blood_pressure,How often should I log blood pressure?
blood_pressure,What's the recommended frequency for blood pressure checks?
blood_pressure,Any reminders for blood pressure monitoring?
blood_pressure,Can you provide insights on interpreting blood pressure results?
blood_pressure,Tell me more about the importance of blood pressure monitoring
blood_pressure_search,Search for blood pressure result history
blood_pressure_search,Blood pressure for a patient
blood_pressure_search,Load patient blood pressure result
blood_pressure_search,Show blood pressure results for a patient
blood_pressure_search,Find blood pressure results by ID
blood_pressure_search,Retrieve blood pressure data
blood_pressure_search,Patient-specific blood pressure results
blood_pressure_search,Access individual blood pressure records
blood_pressure_search,Can you pull up my recent blood pressure readings?
blood_pressure_search,Retrieve blood pressure data for a specific date
blood_pressure_search,Search for historical blood pressure results
blood_pressure_search,Find blood pressure records by patient name
blood_pressure_search,Can you show me trends in my blood pressure data?
blood_pressure_search,Retrieve comprehensive blood pressure report
blood_pressure_search,Show me average blood pressure over the last month
blood_pressure_search,Access detailed blood pressure information for a patient
blood_pressure_search,Search for blood pressure trends by patient ID
provide_patient_id,My Patient ID is [Patient_ID]
provide_patient_id,The Patient ID is [Patient_ID]
pharmacy_search,Find me a pharmacy
pharmacy_search,Find pharmacy
pharmacy_search,List of pharmacies nearby
pharmacy_search,Locate pharmacy
pharmacy_search,Search pharmacy
hospital_search,Lookup for a hospital
hospital_search,Searching for a hospital to transfer a patient
hospital_search,I want to search hospital data
hospital_search,Hospital lookup for a patient
hospital_search,Looking up hospital details
hospital_search,Find hospitals nearby
hospital_search,Search hospitals in my area
hospital_search,Hospitals around me
hospital_search,Find nearby medical centers
search_hospital_by_params,What type of hospital are you looking for?
search_hospital_by_params,Tell me the hospital type
search_hospital_by_params,Search based on hospital type
search_hospital_by_params,Specify the hospital type
search_hospital_by_params,Looking for a specific type of hospital
search_hospital_by_type,General hospital
search_hospital_by_type,Specialty hospital
search_hospital_by_type,Children's hospital
search_hospital_by_type,Maternity hospital
search_hospital_by_type,Cancer center
search_hospital_by_type,Cardiac hospital
search_hospital_by_type,Psychiatric hospital
search_hospital_by_type,Emergency clinic
search_hospital_by_type,Urgent care center
search_hospital_by_type,Orthopedic hospital
search_hospital_by_type,Neurological hospital
search_hospital_by_type,Dental clinic
search_hospital_by_type,Gastroenterology center
search_hospital_by_type,Rehabilitation hospital
search_hospital_by_type,ENT clinic
search_hospital_by_type,Ophthalmology hospital
search_hospital_by_type,Dermatology clinic
search_hospital_by_type,Women's health center
search_hospital_by_type,Geriatric hospital
search_hospital_by_type,Internal medicine clinic
search_hospital_by_type,Allergy and Immunology center
search_hospital_by_type,Physical therapy clinic
search_hospital_by_type,Pulmonology hospital
search_hospital_by_type,Endocrinology clinic
search_hospital_by_type,Nephrology hospital
search_hospital_by_type,Rheumatology clinic
search_hospital_by_type,Oncology hospital
search_hospital_by_type,Orthodontic clinic
search_hospital_by_type,Pediatric hospital
search_hospital_by_type,Podiatry clinic
search_hospital_by_type,Urology hospital
search_hospital_by_type,Plastic surgery clinic
search_hospital_by_type,Vascular surgery hospital
search_hospital_by_type,Pain management clinic
search_hospital_by_type,Podiatric hospital
search_hospital_by_type,Gynecology clinic
search_hospital_by_type,Infectious Disease hospital
search_hospital_by_type,Dental surgery clinic
search_hospital_by_type,Hematology hospital
search_hospital_by_type,Otolaryngology clinic
search_hospital_by_type,Family medicine hospital
search_hospital_by_type,Gynecological surgery clinic
search_hospital_by_type,Sleep medicine hospital
schedule_hospital_appointment,I prefer a morning appointment
schedule_hospital_appointment,Can I get an afternoon slot?
schedule_hospital_appointment,Evening appointment suits me
schedule_hospital_appointment,Any available time on the weekend?
schedule_hospital_appointment,I need a specific time on [day]
schedule_hospital_appointment,Flexible with the appointment time
schedule_hospital_appointment,I want to schedule a check-up
schedule_hospital_appointment,Book an appointment for a medical consultation
schedule_hospital_appointment,Are there any evening slots for appointments?
schedule_hospital_appointment,Can I schedule a follow-up appointment?
schedule_hospital_appointment,Looking for available time slots this week
schedule_hospital_appointment,Book an appointment for a routine health check
schedule_hospital_appointment,Are there any morning slots available?
schedule_hospital_appointment,Can I schedule an appointment for a specialist?
schedule_hospital_appointment,I need to see a doctor. What's the earliest appointment?
schedule_hospital_appointment,Book an appointment for a second opinion
schedule_hospital_appointment,Any open slots for a vaccination appointment?
schedule_hospital_appointment,Can I schedule an appointment for a blood test?
schedule_hospital_appointment,I'm looking to schedule a surgical consultation
schedule_hospital_appointment,Any available time for a telehealth appointment?
schedule_hospital_appointment,Can I book an appointment for a physical therapy session?
schedule_hospital_appointment,I want to schedule an appointment for an X-ray
schedule_hospital_appointment,Any afternoon slots for dental appointments?
schedule_hospital_appointment,I need an appointment for a mental health consultation
schedule_hospital_appointment,Can I schedule an appointment for an ultrasound?
schedule_hospital_appointment,I want to book an appointment for an eye examination
schedule_hospital_appointment,Any weekend slots for medical imaging appointments?
schedule_hospital_appointment,I'm looking to schedule an appointment for a chiropractic session
schedule_hospital_appointment,Can I book an appointment for a nutrition consultation?
schedule_hospital_appointment,I need an appointment for a hearing test
schedule_hospital_appointment,Any available time slots for a diabetes consultation?
schedule_hospital_appointment,Can I schedule an appointment for a skin care consultation?
schedule_hospital_appointment,I want to book an appointment for a physical examination
schedule_hospital_appointment,Any open slots for a gynecological consultation?
schedule_hospital_appointment,I'm looking to schedule an appointment for a cardiology consultation
schedule_hospital_appointment,Can I book an appointment for a respiratory test?
schedule_hospital_appointment,I need an appointment for a gastroenterology consultation
schedule_hospital_appointment,Any available time for a sleep study appointment?
schedule_hospital_appointment,Can I schedule an appointment for a dental cleaning?
schedule_hospital_appointment,I want to book an appointment for a vaccination shot
schedule_hospital_appointment,Any weekend slots for a radiology appointment?
schedule_hospital_appointment,I'm looking to schedule an appointment for a nephrology consultation
schedule_hospital_appointment,Can I book an appointment for a podiatry session?
schedule_hospital_appointment,I need an appointment for a pain management consultation
schedule_hospital_appointment,Any open slots for a urology consultation?
hospital_services,Tell me about the services at the hospital
hospital_services,What medical services do you offer?
hospital_services,Services provided by the hospital
hospital_services,List of healthcare services
hospital_services,Details about hospital facilities
hospital_services,Can you share information about your specialized services?
hospital_services,Tell me about the medical treatments available
hospital_services,What kind of surgeries are performed at the hospital?
hospital_services,Inform me about the healthcare options you provide
hospital_services,Share details about the hospital's diagnostic services
hospital_services,What are the emergency medical services available?
hospital_services,List the specialties covered by your hospital
hospital_services,Can you provide information about the maternity services?
hospital_services,Tell me about the outpatient services offered
hospital_services,What types of therapy services are available?
hospital_services,Give details about the surgical facilities at the hospital
hospital_services,Describe the pediatric services provided
hospital_services,What preventive care services do you offer?
hospital_services,Tell me about the laboratory and testing services
hospital_services,Inform me about the mental health services available
hospital_services,Share details about the dental services offered
hospital_services,What advanced medical technologies do you use?
hospital_services,Can you provide information about the cardiology services?
hospital_services,Tell me about the radiology and imaging services
hospital_services,What rehabilitation services are available?
hospital_services,Describe the urology and nephrology services
hospital_services,Give details about the oncology services provided
hospital_services,What kind of patient education programs do you have?
hospital_services,Tell me about the nutrition and dietary services
hospital_services,Share information about the geriatric care services
hospital_services,What are the orthopedic services offered?
hospital_services,Inform me about the infectious disease care services
hospital_services,Describe the palliative care services provided
hospital_services,What specialized departments do you have?
hospital_services,Tell me about the women's health services
hospital_services,What are the allergy and immunology services available?
hospital_services,Share details about the pain management services
hospital_services,Inform me about the podiatry services provided
hospital_services,What services do you offer for chronic diseases?
hospital_services,Tell me about the plastic and reconstructive surgery services
hospital_services,Describe the vascular surgery and services
hospital_services,What kind of telehealth services do you provide?
hospital_services,Inform me about the sleep medicine services offered
hospital_services,Share details about the infectious disease care services
hospital_services,What dermatology services are available?
hospital_services,Tell me about the gastroenterology services
hospital_services,What services are available for endocrinology?
hospital_services,Inform me about the pulmonology services provided
hospital_services,Describe the rheumatology services offered
hospital_services,What neurology services do you provide?
hospital_services,Tell me about the ophthalmology services
hospital_services,What kind of dental surgery services are available?
hospital_doctors,Find a doctor at the hospital
hospital_doctors,List of doctors available
hospital_doctors,Search for a specific doctor
hospital_doctors,Doctor specialties at the hospital
hospital_doctors,Which doctors are on duty?
hospital_doctors,I need information about hospital physicians
search_hospital_doctors,Looking for [doctor name]
search_hospital_doctors,Doctors specializing in [specialty]
search_hospital_doctors,Search for [doctor name]'s availability
search_hospital_doctors,Available physicians for [specialty]
search_hospital_doctors,Find [doctor name] in the directory
search_hospital_doctors,Specific doctor's schedule
hospital_location,Where is the hospital located?
hospital_location,Hospital address
hospital_location,Tell me about the hospital's location
hospital_location,Directions to the hospital
hospital_location,Locate the hospital
hospital_location,Address of the medical center
hospital_insurance,Does the hospital accept insurance?
hospital_insurance,Insurance information for patients
hospital_insurance,Which insurance plans are accepted?
hospital_insurance,Billing and insurance details
hospital_insurance,Can I use my insurance at the hospital?
hospital_insurance,Policy coverage at the medical center
hospital_emergencies,What should I do in case of an emergency?
hospital_emergencies,Emergency procedures at the hospital
hospital_emergencies,Hospital emergency response
hospital_emergencies,Steps during a medical emergency
hospital_emergencies,Contact for emergencies
hospital_emergencies,Emergency room information
hospital_departments,List of hospital departments
hospital_departments,What departments are there in the hospital?
hospital_departments,Tell me about the different hospital units
hospital_departments,Departments at the medical center
hospital_departments,Specialized units in the hospital
hospital_departments,Information on healthcare departments
hospital_parking,Is there parking available at the hospital?
hospital_parking,Parking facilities at the medical center
hospital_parking,Information on hospital parking
hospital_parking,Parking spaces for patients
hospital_parking,Where can I park at the hospital?
hospital_parking,Parking rates and availability
hospital_visiting_hours,What are the visiting hours at the hospital?
hospital_visiting_hours,Visitation timings for patients
hospital_visiting_hours,Hospital visiting schedule
hospital_visiting_hours,When can I visit a patient?
hospital_visiting_hours,Information on visiting hours
hospital_visiting_hours,Allowed hours for visitors
hospital_feedback,How can I provide feedback about the hospital?
hospital_feedback,Submit feedback for the medical center
hospital_feedback,Hospital review and feedback
hospital_feedback,Share my experience at the hospital
hospital_feedback,Feedback and suggestions for improvement
hospital_feedback,Patient satisfaction survey
appointment_modification,Can I reschedule my appointment?
appointment_modification,Change my hospital appointment time
appointment_modification,I need to cancel my scheduled appointment
medication_information,Tell me about [specific drug] side effects
medication_information,Medication details for [patient name]
medication_information,How to manage medication side effects?
health_condition_queries,Information about diabetes
health_condition_queries,Tell me more about heart conditions
health_condition_queries,What are the symptoms of [specific illness]?
general_health_tips,Give me some health tips
general_health_tips,How to maintain a healthy lifestyle?
general_health_tips,Suggest a healthy diet plan
insurance_details,Which insurance plans cover [specific procedure]?
